Source,Target,timeset,weight
IRQ,PRT,"<[1969, 1970]>",0.03497837301728252
IRQ,USA,"<[1969, 1970]>",0.006056417854909485
KWT,NLD,"<[1969, 1970]>",0.07680532447093577
KWT,USA,"<[1969, 1970]>",0.015582172429979148
LBY,NLD,"<[1969, 1970]>",0.07869070393795286
LBY,USA,"<[1969, 1970]>",0.05051651125324573
QAT,NLD,"<[1969, 1970]>",0.03394498494070313
QAT,USA,"<[1969, 1970]>",0.09216394206207264
SAU,NLD,"<[1969, 1970]>",0.07842573738699053
SAU,PRT,"<[1969, 1970]>",0.0005453198005079797
SAU,USA,"<[1969, 1970]>",0.019108156494387823
SAU,ZAF,"<[1969, 1970]>",0.016737829680210335
SYR,NLD,"<[1969, 1970]>",0.15558952911125798
SYR,USA,"<[1969, 1970]>",0.017017483202352905
TUN,NLD,"<[1969, 1970]>",0.0017681293416024605
TUN,USA,"<[1969, 1970]>",0.012510255271317768
BHR,NLD,"<[1970, 1971]>",0.002467578055387828
BHR,PRT,"<[1970, 1971]>",0.12947055415839223
BHR,USA,"<[1970, 1971]>",0.029521794781801176
DZA,NLD,"<[1970, 1971]>",0.004933442015668269
DZA,PRT,"<[1970, 1971]>",9.259324151216476e-06
DZA,USA,"<[1970, 1971]>",0.0056357323314241295
EGY,NLD,"<[1970, 1971]>",0.015570987194341898
EGY,PRT,"<[1970, 1971]>",0.001786641107706643
EGY,USA,"<[1970, 1971]>",0.018719612876283893
IRQ,NLD,"<[1970, 1971]>",0.005450583395771325
IRQ,PRT,"<[1970, 1971]>",0.044902501125708046
IRQ,USA,"<[1970, 1971]>",0.00514566171843751
KWT,NLD,"<[1970, 1971]>",0.10048144898182672
KWT,USA,"<[1970, 1971]>",0.015803730990038612
LBY,NLD,"<[1970, 1971]>",0.0869721263079046
LBY,USA,"<[1970, 1971]>",0.01702976225819348
QAT,NLD,"<[1970, 1971]>",0.0440062376970627
QAT,USA,"<[1970, 1971]>",0.14732243624275407
SAU,NLD,"<[1970, 1971]>",0.09046365286262853
SAU,PRT,"<[1970, 1971]>",0.007634490749733539
SAU,USA,"<[1970, 1971]>",0.010016364658469933
SYR,NLD,"<[1970, 1971]>",0.17397195426465875
SYR,PRT,"<[1970, 1971]>",0.002580761839693631
SYR,USA,"<[1970, 1971]>",0.012987240625245674
TUN,NLD,"<[1970, 1971]>",0.006122936625499176
TUN,USA,"<[1970, 1971]>",0.013677845283099165
BHR,NLD,"<[1971, 1972]>",0.0003465666223540515
BHR,PRT,"<[1971, 1972]>",0.08751587575285785
BHR,USA,"<[1971, 1972]>",0.020020905462032324
DZA,NLD,"<[1971, 1972]>",0.02209398232166281
DZA,USA,"<[1971, 1972]>",0.014616996533764522
EGY,NLD,"<[1971, 1972]>",0.02069863537405202
EGY,PRT,"<[1971, 1972]>",0.0019168662904129792
EGY,USA,"<[1971, 1972]>",0.015637771507793205
IRQ,NLD,"<[1971, 1972]>",0.006662993228632678
IRQ,PRT,"<[1971, 1972]>",0.03435315534870433
IRQ,USA,"<[1971, 1972]>",0.008667757726750958
KWT,NLD,"<[1971, 1972]>",0.12148765649513961
KWT,USA,"<[1971, 1972]>",0.014411807805024747
LBY,NLD,"<[1971, 1972]>",0.04904109377521152
LBY,USA,"<[1971, 1972]>",0.01955341051138885
QAT,NLD,"<[1971, 1972]>",0.049293495270915894
QAT,USA,"<[1971, 1972]>",0.1354207057281731
SAU,NLD,"<[1971, 1972]>",0.10254724814109954
SAU,PRT,"<[1971, 1972]>",0.005944976104672506
SAU,USA,"<[1971, 1972]>",0.022408264911294187
SYR,NLD,"<[1971, 1972]>",0.1790887019706177
SYR,USA,"<[1971, 1972]>",0.014477176415450283
TUN,NLD,"<[1971, 1972]>",0.004848735933645044
TUN,USA,"<[1971, 1972]>",0.016738453021184707
ARE,NLD,"<[1972, 1973]>",0.05360638292220332
ARE,USA,"<[1972, 1973]>",0.029436138035110318
BHR,NLD,"<[1972, 1973]>",0.0009278244160252881
BHR,PRT,"<[1972, 1973]>",0.05407008151586548
BHR,USA,"<[1972, 1973]>",0.029653886612205423
DZA,NLD,"<[1972, 1973]>",0.021775780191306795
DZA,USA,"<[1972, 1973]>",0.06971097495569986
EGY,NLD,"<[1972, 1973]>",0.007639635100133413
EGY,PRT,"<[1972, 1973]>",0.001481976426962388
EGY,USA,"<[1972, 1973]>",0.015406125212547037
IRQ,NLD,"<[1972, 1973]>",0.007003189150768431
IRQ,PRT,"<[1972, 1973]>",0.030239150354350316
IRQ,USA,"<[1972, 1973]>",0.011338680073549795
KWT,NLD,"<[1972, 1973]>",0.11112239995297443
KWT,USA,"<[1972, 1973]>",0.016063814901883824
LBY,NLD,"<[1972, 1973]>",0.037605297670381205
LBY,USA,"<[1972, 1973]>",0.0451322326509677
QAT,NLD,"<[1972, 1973]>",0.18945451331743568
QAT,USA,"<[1972, 1973]>",0.011824665704179897
QAT,ZAF,"<[1972, 1973]>",0.060350983586635466
SAU,NLD,"<[1972, 1973]>",0.11307267885672713
SAU,PRT,"<[1972, 1973]>",0.005485804387942689
SAU,USA,"<[1972, 1973]>",0.03320011198568754
SYR,NLD,"<[1972, 1973]>",0.007971619722365887
SYR,USA,"<[1972, 1973]>",0.01569491525044132
TUN,NLD,"<[1972, 1973]>",0.007150131479001749
TUN,PRT,"<[1972, 1973]>",0.049175104136983804
TUN,USA,"<[1972, 1973]>",0.025296469732619953
ARE,NLD,"<[1973, 1974]>",0.0491877067501867
ARE,USA,"<[1973, 1974]>",0.03490512402717663
BHR,NLD,"<[1973, 1974]>",0.0016524348770501618
BHR,PRT,"<[1973, 1974]>",0.03534165399981658
BHR,USA,"<[1973, 1974]>",0.027014064112268924
DZA,NLD,"<[1973, 1974]>",0.014360704648353482
DZA,PRT,"<[1973, 1974]>",0.0002241325292748455
DZA,USA,"<[1973, 1974]>",0.08419934427924272
EGY,NLD,"<[1973, 1974]>",0.012474672012375839
EGY,PRT,"<[1973, 1974]>",0.0023032962659264838
EGY,USA,"<[1973, 1974]>",0.018141375177082638
IRQ,NLD,"<[1973, 1974]>",0.004481141045748769
IRQ,PRT,"<[1973, 1974]>",0.019132006240171757
IRQ,USA,"<[1973, 1974]>",0.011401305951592375
KWT,NLD,"<[1973, 1974]>",0.11451770401093993
KWT,USA,"<[1973, 1974]>",0.015238832883045976
LBY,NLD,"<[1973, 1974]>",0.023731937154726844
LBY,USA,"<[1973, 1974]>",0.061027290877202184
QAT,NLD,"<[1973, 1974]>",0.2949831144256286
QAT,USA,"<[1973, 1974]>",0.02305417386609055
SAU,NLD,"<[1973, 1974]>",0.09528089505462521
SAU,PRT,"<[1973, 1974]>",0.006366816598417445
SAU,USA,"<[1973, 1974]>",0.05358421320993181
SYR,NLD,"<[1973, 1974]>",0.023501281602427294
SYR,PRT,"<[1973, 1974]>",0.0037154835354231094
SYR,USA,"<[1973, 1974]>",0.020697214038608927
TUN,NLD,"<[1973, 1974]>",0.023406370901672493
TUN,PRT,"<[1973, 1974]>",0.0008147518828370459
TUN,USA,"<[1973, 1974]>",0.06187942276306672
ARE,NLD,"<[1974, 1975]>",0.013707550530554048
ARE,USA,"<[1974, 1975]>",0.06001595864947097
BHR,NLD,"<[1974, 1975]>",0.002747941267406345
BHR,USA,"<[1974, 1975]>",0.017998062265140762
DZA,NLD,"<[1974, 1975]>",0.0056036478945624855
DZA,PRT,"<[1974, 1975]>",0.000251616758133894
DZA,USA,"<[1974, 1975]>",0.21428188602721632
EGY,NLD,"<[1974, 1975]>",0.006783294001429423
EGY,PRT,"<[1974, 1975]>",0.0034318627843579162
EGY,USA,"<[1974, 1975]>",0.03074372441115122
IRQ,NLD,"<[1974, 1975]>",0.004621651460642184
IRQ,PRT,"<[1974, 1975]>",0.023751330745409912
IRQ,USA,"<[1974, 1975]>",0.0003281188766560587
KWT,NLD,"<[1974, 1975]>",0.01602035091306746
KWT,USA,"<[1974, 1975]>",0.0015225197155828932
KWT,ZAF,"<[1974, 1975]>",0.002434334264983497
LBY,NLD,"<[1974, 1975]>",0.004334034096977774
LBY,USA,"<[1974, 1975]>",0.0003919097856361825
QAT,NLD,"<[1974, 1975]>",0.004698229865994209
QAT,USA,"<[1974, 1975]>",0.04345512058844536
